vin,back_legroom_mm,body_type,city,city_fuel_economy,daysonmarket,dealer_zip,engine_displacement,engine_type,exterior_color,franchise_dealer,front_legroom_mm,fuel_type,height_mm,highway_fuel_economy,horsepower,interior_color,is_new,latitude,listed_date,listing_color,longitude,make_name,maximum_seating,mileage,model_name,power,savings_amount,seller_rating,torque,transmission,transmission_display,wheel_system,wheelbase_mm,width_mm,year,price
1.0,896.6199999999999,Sedan,Camillus,26.0,10,13031,1400.0,4.0,Orange,False,1071.88,Gasoline,1475.74,38.0,138.0,Gray,False,43.0388,1006.0,ORANGE,-76.3035,Chevrolet,5.0,103000.0,Cruze,138.0,248.0,4.454545454545454,999.0,A,6-Speed Automatic,FWD,2684.7799999999997,1795.78,2013,6900.0
1.0,1023.6199999999999,Pickup Truck,Morehead,15.0,317,40351,5700.0,8.0,Flame Red Clearcoat,True,1041.3999999999999,Gasoline,1953.26,22.0,395.0,Diesel Gray/Black,True,38.1814,1004.5,RED,-83.5569,RAM,6.0,4740.0,1500,395.0,0.0,4.448275862068965,2180.0,A,8-Speed Automatic,4X2,3568.7,2016.76,2019,28602.0
3.0,850.9,Sedan,Kingwood,33.0,69,77339,1600.0,4.0,Clear White,True,1069.34,Gasoline,1450.34,41.0,120.0,Black,True,,1006.5,WHITE,-95.2227,Kia,5.0,0.0,Rio,120.0,0.0,4.526315789473684,2306.0,A,Automatic,FWD,2580.64,1724.66,2020,17685.0
3.0,1005.84,SUV / Crossover,Mission,24.0,9,78572,2500.0,4.0,White,True,1041.3999999999999,Gasoline,1678.9399999999998,31.0,187.0,Black,False,26.1958,1005.5,WHITE,-98.2853,Mazda,5.0,10783.0,CX-5,187.0,802.0,,2092.5,A,6-Speed Automatic,FWD,2697.48,1841.5,2017,22739.0
1.0,1107.44,Pickup Truck,Conyers,16.0,20,30013,3500.0,6.0,Magnetic Metallic,True,1115.06,Gasoline,1960.8799999999999,22.0,375.0,Medium Earth Gray w/Vinyl 40/20/40 Front Seat,True,33.6458,1006.0,GRAY,-83.9922,Ford,6.0,8.0,F-150,395.0,0.0,4.314285714285714,2450.0,A,Automatic,4WD,3683.0,2458.72,2020,38950.0
1.0,1107.44,Pickup Truck,La Mesa,16.0,223,91942,3500.0,6.0,Oxford White,True,1115.06,Gasoline,1960.8799999999999,22.0,375.0,Black,True,32.7755,1009.0,WHITE,-117.005,Ford,6.0,4.0,F-150,395.0,0.0,4.714285714285714,2450.0,A,Automatic,4WD,3683.0,2458.72,2020,66205.0
5.0,693.42,Coupe,West Palm Beach,19.0,10,33415,3500.0,6.0,Atomic Silver,False,1153.1599999999999,Gasoline,1394.4599999999998,28.0,306.0,Stratus Gray,False,26.6689,1006.0,SILVER,-80.1125,Lexus,4.0,35418.0,RC 350,306.0,0.0,3.756756756756757,2538.5,A,Automatic,RWD,2730.5,2070.1,2015,27497.0
1.0,955.04,Sedan,Carlstadt,23.0,84,7072,2400.0,4.0,Velvet Red Pearlcoat,False,1071.88,Gasoline,1394.4599999999998,36.0,184.0,White (Linen/Black),False,40.8216,1007.0,RED,-74.0618,Chrysler,5.0,19196.0,200,295.0,871.0,4.842105263157895,2256.0,A,Automatic,FWD,2766.06,1869.4399999999998,2015,13442.0
1.0,896.6199999999999,Sedan,Delray Beach,26.0,29,33483,1400.0,4.0,Tungsten Metallic,True,1071.88,Gasoline,1475.74,38.0,138.0,Jet Black,False,26.4369,1006.0,GRAY,-80.0717,Chevrolet,5.0,76844.0,Cruze,138.0,879.0,4.1,999.0,A,6-Speed Automatic Overdrive,FWD,2684.7799999999997,1795.78,2015,6994.0
1.0,,SUV / Crossover,Barrington,19.0,238,60010,3000.0,6.0,White,True,,Gasoline,1696.7199999999998,23.0,335.0,,False,42.1291,1009.5,WHITE,-88.1362,Porsche,5.0,,Cayenne,335.0,0.0,4.5703125,836.0,A,8-Speed Automatic,AWD,2895.6,2194.56,2020,78450.0
19.0,949.9599999999999,Sedan,Mcdonough,29.0,1,30253,2000.0,4.0,Aegean Blue Metallic,True,1074.4199999999998,Gasoline,1414.78,37.0,158.0,,True,33.4312,1005.5,BLUE,-84.1888,Honda,5.0,5.0,Civic,158.0,0.0,4.238095238095238,2169.0,CVT,Continuously Variable Transmission,FWD,2700.02,1798.32,2020,22555.0
1.0,962.6599999999999,Sedan,Cape May Court House,21.0,250,8210,2000.0,4.0,Summit White,True,1076.9599999999998,Gasoline,1452.8799999999999,31.0,237.0,Jet Black with Jet Black Accents,True,39.0809,1009.5,WHITE,-74.8155,Cadillac,5.0,4.0,CT5,237.0,0.0,4.571428571428571,879.0,A,Automatic,AWD,2946.3999999999996,2039.62,2020,47090.0
1.0,894.08,Sedan,Manhattan,28.0,44,66502,2500.0,4.0,GRAY,True,1112.5199999999998,Gasoline,1440.18,39.0,188.0,,False,39.1673,1006.5,GRAY,-96.5979,Nissan,5.0,7734.0,Altima,188.0,830.0,4.0,1890.0,CVT,Continuously Variable Transmission,FWD,2824.48,1851.66,2020,20995.0
1.0,947.4199999999998,SUV / Crossover,Winston Salem,23.0,19,27127,2000.0,4.0,Oxford White,True,1094.74,Gasoline,1684.0199999999998,30.0,245.0,Medium Light Stone,False,36.069,1006.0,WHITE,-80.2589,Ford,5.0,35892.0,Escape,245.0,825.0,4.3,1637.5,A,6-Speed Automatic,FWD,2689.86,2077.72,2018,19899.0
1.0,1026.1599999999999,Sedan,Tampa,29.0,13,33619,1500.0,4.0,Lunar Silver Metallic,True,1074.4199999999998,Gasoline,1450.34,35.0,192.0,Black,True,27.9498,1006.0,SILVER,-82.354,Honda,5.0,0.0,Accord,192.0,0.0,3.945945945945946,846.0,CVT,Continuously Variable Transmission,FWD,2829.56,1861.82,2020,23810.0
3.0,855.98,Coupe,Mountain View,23.0,74,94040,2000.0,4.0,BLACK,True,1061.7199999999998,Gasoline,1376.68,35.0,240.0,Brown (Venetian Beige),False,37.3799,1007.0,BLACK,-122.072,BMW,4.0,48194.0,4 Series,240.0,742.0,3.878787878787879,852.5,A,Automatic,RWD,2809.24,2016.76,2015,20989.0
1.0,980.4399999999999,SUV / Crossover,Posen,16.0,18,60469,3600.0,6.0,Blue,False,1023.6199999999999,Gasoline,1762.76,23.0,290.0,Black,False,41.6261,1006.0,BLUE,-87.6868,Jeep,5.0,132000.0,Grand Cherokee,360.0,2065.0,3.755555555555556,2320.0,A,5-Speed Automatic,4WD,2915.9199999999996,2153.9199999999996,2012,10499.0
5.0,904.24,Sedan,Union City,25.0,29,30291,2400.0,4.0,Shale Gray Metallic,True,1155.7,Gasoline,1475.74,36.0,185.0,Gray,False,33.5678,1006.0,GRAY,-84.525,Hyundai,5.0,27151.0,Sonata,185.0,54.0,4.266666666666667,2089.0,A,Automatic,FWD,2804.16,1864.3600000000001,2017,16997.0
1.0,1023.6199999999999,SUV / Crossover,Murfreesboro,22.0,26,37130,2000.0,4.0,Diamond Black Crystal Pearl Coat,True,1043.94,Gasoline,1668.78,31.0,270.0,,True,,1006.0,BLACK,-86.3937,Jeep,5.0,8.0,Cherokee,271.0,0.0,4.294117647058823,2319.5,A,Automatic,FWD,2705.1,1859.28,2020,24343.0
3.0,787.4,Sedan,Inver Grove Heights,32.0,314,55077,1600.0,4.0,Gun Metallic,True,1130.3,Gasoline,1455.4199999999998,40.0,122.0,Gray (Graphite),True,44.8797,1004.0,GRAY,-93.0759,Nissan,5.0,0.0,Versa,122.0,0.0,3.75,2057.0,CVT,Continuously Variable Transmission,FWD,2618.74,1739.8999999999999,2020,18745.0
5.0,850.9,SUV / Crossover,Stafford,24.0,14,77477,2000.0,4.0,Malbec Black,False,1049.02,Gasoline,1475.74,33.0,208.0,Black,False,29.6463,1006.0,BLACK,-95.573,INFINITI,5.0,19521.0,QX30,208.0,1255.0,4.260869565217392,729.0,A,Automatic,FWD,2700.02,2082.7999999999997,2017,23480.0
2.0,1013.4599999999999,SUV / Crossover,Riverhead,22.0,22,11901,2400.0,4.0,Blue Velvet Metallic,True,1046.48,Gasoline,1684.0199999999998,32.0,182.0,Light Titanium / Jet Black,False,40.927,1006.0,BLUE,-72.6882,Chevrolet,5.0,61120.0,Equinox,301.0,309.0,3.0,2536.0,A,6-Speed Automatic,FWD,2857.5,1841.5,2015,13900.0
3.0,1005.84,SUV / Crossover,Valley Stream,24.0,70,11580,2500.0,4.0,Soul Red Crystal Metallic,True,1041.3999999999999,Gasoline,1678.9399999999998,30.0,187.0,Black,True,40.6717,1006.5,RED,-73.7213,Mazda,5.0,1.0,CX-5,187.0,0.0,2.833333333333333,2093.0,A,6-Speed Automatic,AWD,2697.48,2115.8199999999997,2020,32107.0
5.0,1038.86,SUV / Crossover,Miami,22.0,9,33137,2400.0,4.0,Rainforest,True,1120.1399999999999,Gasoline,1678.9399999999998,29.0,185.0,Black/Black,True,25.796,1005.5,UNKNOWN,-80.1908,Hyundai,5.0,,Santa Fe,185.0,0.0,3.125,2089.0,A,8-Speed Automatic,FWD,2766.06,1889.76,2020,28209.0
1.0,1054.1,SUV / Crossover,San Antonio,17.0,202,78238,3500.0,6.0,Ruby Red Metallic Tinted Clearcoat,True,1115.06,Gasoline,1945.6399999999996,24.0,400.0,Black (Ebony),True,29.454,1009.0,RED,-98.6288,Ford,8.0,0.0,Expedition,400.0,0.0,3.583333333333333,1865.0,A,Automatic,4X2,3111.5,2372.36,2019,65995.0
2.0,1026.1599999999999,SUV / Crossover,Hopkins,27.0,43,55343,1500.0,4.0,Lunar Silver,True,1049.02,Gasoline,1689.1,32.0,190.0,Black,True,44.9211,1006.5,SILVER,-93.4066,Honda,5.0,0.0,CR-V,190.0,,4.333333333333333,1089.5,,,AWD,2659.38,1854.1999999999998,2020,30580.0
1.0,993.14,SUV / Crossover,Novi,17.0,170,48375,3600.0,6.0,Radiant Silver Metallic,True,1046.48,Gasoline,1775.46,24.0,310.0,Jet Black,True,42.4762,1008.5,SILVER,-83.4549,Cadillac,7.0,2170.0,XT6,310.0,0.0,4.487179487179487,2585.5,A,Automatic,4WD,2862.58,1963.4199999999998,2020,53964.0
8.0,970.28,SUV / Crossover,Stillwater,23.0,103,74074,2000.0,4.0,Winter White,True,1054.1,Gasoline,1651.0,28.0,161.0,Gray,True,36.117,1007.5,WHITE,-97.1132,Hyundai,5.0,5.0,Tucson,161.0,0.0,3.2222222222222223,2425.0,A,6-Speed Automatic,FWD,2669.5399999999995,1849.12,2020,23362.0
1.0,949.9599999999999,SUV / Crossover,Manassas Park,20.0,42,20111,2000.0,4.0,Gold,False,1041.3999999999999,Gasoline,1656.08,28.0,211.0,Brown (Beige),False,38.7695,1006.5,GOLD,-77.4456,Audi,5.0,74362.0,Q5,211.0,1740.0,4.114093959731544,879.0,A,Automatic,AWD,2806.7,2087.88,2013,16995.0
5.0,955.04,Minivan,Marysville,18.0,2,43040,3500.0,6.0,Beige,True,1028.7,Gasoline,1811.0199999999998,24.0,296.0,,False,40.2281,1005.5,BROWN,-83.3454,Toyota,7.0,101121.0,Sienna,296.0,,4.458333333333333,2481.5,A,8-Speed Automatic,AWD,3030.22,1983.7399999999998,2017,19611.0
1.0,967.74,Sedan,Mobile,18.0,7,36608,3500.0,6.0,Silver,False,1122.68,Gasoline,1541.78,27.0,288.0,Black,False,30.6872,1005.5,SILVER,-88.2149,Ford,5.0,68485.0,Taurus,288.0,2636.0,4.55,2127.0,A,Automatic,FWD,2867.66,2176.7799999999997,2018,16950.0
1.0,934.7199999999999,SUV / Crossover,Mission Viejo,17.0,11,92692,3600.0,6.0,SUMMIT WHITE,True,1049.02,Gasoline,1788.16,24.0,288.0,Black (EBONY),False,33.5493,1005.5,WHITE,-117.671,GMC,8.0,61410.0,Acadia,288.0,2556.0,5.0,1835.0,A,Automatic,FWD,3020.06,2004.06,2014,17888.0
2.0,927.0999999999999,Minivan,Lakeport,12.0,43,95453,3600.0,6.0,Octane Red Pearlcoat,True,1033.78,Flex Fuel Vehicle,1752.6,18.0,283.0,Black/Light Graystone,False,39.0332,1006.5,RED,-122.925,Dodge,7.0,32119.0,Grand Caravan,283.0,1568.0,4.538461538461538,2330.0,A,6-Speed Automatic,FWD,3078.48,2247.9,2019,15986.0
3.0,1013.4599999999999,SUV / Crossover,Wexford,25.0,64,15090,1500.0,4.0,SUMMIT WHITE,True,1038.86,Gasoline,1661.16,30.0,170.0,MEDIUM ASH GRAY,True,40.6067,1006.5,WHITE,-80.0517,Chevrolet,5.0,4.0,Equinox,170.0,0.0,4.894736842105263,1101.5,A,Automatic,4WD,2725.4199999999996,1844.0399999999997,2020,29780.0
58.0,995.6800000000001,Sedan,Savannah,22.0,362,31405,3500.0,6.0,Nightfall Mica,True,1076.9599999999998,Gasoline,1445.26,33.0,302.0,Blue (Chateau),True,32.0772,1005.0,UNKNOWN,-81.1583,Lexus,5.0,15.0,ES,302.0,0.0,4.222222222222222,2483.5,A,Automatic,FWD,2870.2,1864.3600000000001,2019,50259.0
1.0,1107.44,Pickup Truck,Buffalo,18.0,44,14221,3500.0,6.0,Black,False,1115.06,Gasoline,1953.26,23.0,375.0,Black,False,43.0022,1006.5,BLACK,-78.7407,Ford,6.0,33848.0,F-150,375.0,1023.0,3.6,1485.0,A,6-Speed Automatic,4WD,3683.0,2458.72,2017,35990.0
1.0,990.5999999999999,SUV / Crossover,Sarasota,18.0,32,34239,3600.0,6.0,Crystal White Tricoat,True,1046.48,Gasoline,1678.9399999999998,25.0,310.0,Jet Black,True,27.2988,1006.0,WHITE,-82.5264,Cadillac,5.0,2101.0,XT5,310.0,0.0,4.882352941176471,2585.5,A,Automatic,4WD,2857.5,1902.46,2020,52012.0
5.0,1038.86,SUV / Crossover,Houston,20.0,15,77054,2000.0,4.0,Calypso Red,True,1120.1399999999999,Gasoline,1704.3399999999997,27.0,235.0,Black/Beige,True,29.6754,1006.0,RED,-95.4179,Hyundai,5.0,15.0,Santa Fe,235.0,0.0,3.954545454545455,855.0,,,FWD,2766.06,1889.76,2020,39750.0
1.0,975.3599999999999,SUV / Crossover,Concord,17.0,377,3301,3600.0,6.0,Stone Gray Metallic,True,1041.3999999999999,Gasoline,1795.78,25.0,310.0,Jet Black,True,43.1886,1005.5,GRAY,-71.5024,Chevrolet,8.0,,Traverse,310.0,0.0,4.305555555555555,1533.0,A,9-Speed Automatic,4WD,3070.86,1996.4399999999998,2020,43325.0
5.0,881.38,Pickup Truck,Merrimack,14.0,47,3054,4600.0,8.0,White,False,1079.5,Gasoline,1935.48,19.0,310.0,Gray,False,42.8101,1006.5,WHITE,-71.4838,Toyota,6.0,131603.0,Tundra,310.0,682.0,4.5,1863.5,A,Automatic,4WD,3700.7799999999993,2029.46,2012,17485.0
2.0,949.9599999999999,Sedan,Thousand Oaks,29.0,198,91362,2000.0,4.0,WHITE,True,1074.4199999999998,Gasoline,1414.78,37.0,158.0,Black,True,34.1599,1009.0,WHITE,-118.827,Honda,5.0,5.0,Civic,158.0,0.0,4.041666666666667,2169.0,A,Automatic,FWD,2700.02,1798.32,2020,21929.0
3.0,894.08,Wagon,Aurora,21.0,65,80011,2000.0,4.0,White,False,1049.02,Gasoline,1435.1,29.0,211.0,Gray,False,39.7393,1006.5,WHITE,-104.821,Audi,5.0,112872.0,A4 Avant,211.0,1460.0,4.6,879.0,A,8-Speed Automatic,AWD,2809.24,2006.6,2011,9999.0
3.0,939.8,Sedan,Richardson,18.0,17,75080,3700.0,6.0,Tuxedo Black,True,1125.2199999999998,Gasoline,1478.28,26.0,300.0,Light Dune,False,32.9717,1006.0,BLACK,-96.7189,Lincoln,5.0,119036.0,MKZ,300.0,39.0,3.795918367346939,2138.5,A,Automatic,AWD,2849.88,2115.8199999999997,2013,11442.0
4.0,922.0199999999999,SUV / Crossover,Bronx,23.0,186,10475,2000.0,4.0,Mercury Gray Metallic,True,1056.6399999999999,Gasoline,1645.9199999999998,29.0,148.0,,True,40.8855,1008.5,GRAY,-73.829,Mitsubishi,5.0,3.0,Outlander Sport,148.0,0.0,3.1052631578947367,2172.5,CVT,Continuously Variable Transmission,AWD,2669.5399999999995,1811.0199999999998,2020,23922.0
2.0,1051.56,Sedan,Saco,28.0,20,4072,1800.0,4.0,Silver,True,1074.4199999999998,Gasoline,1455.4199999999998,36.0,132.0,Black,False,43.5274,1006.0,SILVER,-70.427,Toyota,5.0,36047.0,Corolla,132.0,232.0,4.425,2264.0,CVT,Continuously Variable Transmission,FWD,2700.02,1775.46,2017,15990.0
2.0,1013.4599999999999,SUV / Crossover,Flower Mound,22.0,28,75028,2400.0,4.0,Blue Velvet Metallic,False,1046.48,Gasoline,1684.0199999999998,32.0,182.0,Jet Black,False,33.0715,1006.0,BLUE,-97.0491,Chevrolet,5.0,69778.0,Equinox,182.0,1770.0,3.838709677419355,2536.0,A,Automatic,FWD,2857.5,1841.5,2015,13995.0
3.0,916.9399999999999,SUV / Crossover,Austin,17.0,92,78759,3600.0,6.0,Billet Clearcoat,True,1036.32,Gasoline,1765.3,25.0,283.0,Black,False,30.41,1007.0,UNKNOWN,-97.7458,Dodge,7.0,29240.0,Journey,283.0,782.0,4.294117647058823,2330.0,A,6-Speed Automatic,FWD,2890.52,2125.98,2019,18991.0
3.0,972.8199999999998,Sedan,Strongsville,22.0,17,44136,2000.0,4.0,Oxford White,True,1125.2199999999998,Gasoline,1475.74,33.0,240.0,Charcoal Black,False,41.3132,1006.0,WHITE,-81.8036,Ford,5.0,124927.0,Fusion,240.0,1021.0,4.0,1010.0,A,6-Speed Automatic,FWD,2849.88,2120.9,2014,10742.0
1.0,909.3199999999998,Pickup Truck,Rockville,17.0,53,20852,3600.0,6.0,Black,True,1143.0,Gasoline,1793.2399999999998,24.0,308.0,Jet Black/Dark Ash,True,39.0757,1006.5,BLACK,-77.1386,Chevrolet,5.0,8.0,Colorado,181.0,0.0,3.5,1184.5,A,8-Speed Automatic,4WD,3258.82,2131.06,2021,33425.0
2.0,962.6599999999999,SUV / Crossover,Brooklyn,25.0,246,11220,2500.0,4.0,Glacier White,True,1092.2,Gasoline,1691.6399999999999,32.0,170.0,Black (Charcoal),True,40.6366,1009.5,WHITE,-74.0192,Nissan,5.0,35.0,Rogue,170.0,0.0,4.0,2287.5,CVT,Continuously Variable Transmission,AWD,2705.1,1838.96,2020,26743.0
2.0,965.1999999999999,SUV / Crossover,Manchester,22.0,37,3102,2500.0,4.0,Quartz Blue Pearl,True,1092.2,Gasoline,1732.28,28.0,170.0,Gray,False,42.9707,1006.0,BLUE,-71.4782,Subaru,5.0,24206.0,Forester,170.0,2231.0,3.783783783783784,2137.0,M,6-Speed Manual,AWD,2639.06,2044.6999999999998,2018,20900.0
1.0,855.98,Pickup Truck,Vinton,13.0,54,52349,6000.0,8.0,Black,False,1049.02,Gasoline,1877.06,18.0,345.0,Gray,False,42.1675,1006.5,BLACK,-92.0337,Chevrolet,5.0,177000.0,Silverado Classic 1500,345.0,985.0,4.2727272727272725,2190.0,A,Automatic,4WD,3644.8999999999996,1993.8999999999999,2007,7500.0
3.0,1038.86,Pickup Truck,Austin,16.0,6,78745,5300.0,8.0,Silver,False,1150.62,Gasoline,1884.68,23.0,355.0,Gray,False,30.2119,1005.5,SILVER,-97.7567,Chevrolet,6.0,12668.0,Silverado 1500,355.0,215.0,4.666666666666667,2241.5,A,Automatic,4X2,3644.8999999999996,2032.0,2018,33998.0
5.0,975.3599999999999,SUV / Crossover,Bozeman,18.0,16,59718,3500.0,6.0,Crystal Black Pearl,True,1038.86,Gasoline,1772.9199999999998,26.0,280.0,Black,False,45.6696,1006.0,BLACK,-111.127,Honda,8.0,46938.0,Pilot,280.0,133.0,4.607843137254902,2481.0,A,6-Speed Automatic,AWD,2819.3999999999996,1996.4399999999998,2016,27990.0
3.0,889.0,Wagon,Linden,22.0,38,7036,2000.0,4.0,Alpine White,False,1066.8,Gasoline,1417.32,33.0,241.0,Brown (Venetian Beige),False,40.6413,1006.0,WHITE,-74.2608,BMW,5.0,117696.0,3 Series,241.0,173.0,4.086206896551724,754.0,A,Automatic,AWD,2760.98,1816.1,2014,14569.0
5.0,906.78,Sedan,Mercedes,28.0,21,78570,2000.0,4.0,Symphony Silver,False,1071.88,Gasoline,1435.1,37.0,147.0,Black,False,26.1595,1006.0,SILVER,-97.8906,Hyundai,5.0,32943.0,Elantra,147.0,1184.0,3.1875,2316.0,A,6-Speed Automatic,FWD,2700.02,1800.8600000000001,2019,16320.0
